bit_width,perplexity_mean,perplexity_var,perplexity_skew,rmse_key_mean,rmse_key_var,rmse_key_skew,rmse_value_mean,rmse_value_var,rmse_value_skew
2.0,12.39445,16.29854,-0.08,1.29012,0.0011,-0.40659,0.21046,0.0,-0.39821
2.5,12.91882,18.67295,-0.20987,1.23876,0.00068,-0.22293,0.19321,0.0,-0.2842
3.0,12.94628,18.39245,-0.20496,0.81444,0.00029,-0.85154,0.13242,0.0,-0.96046
3.5,12.94361,18.40735,-0.20045,0.73659,0.00034,-0.50162,0.10882,0.0,-0.87311
4.0,12.94628,18.39245,-0.20496,0.45719,0.00015,-0.61069,0.07455,0.0,0.311
BF16,12.39465,16.29647,-0.07992,0.0,0.0,,0.0,0.0,
