Context_length,Turboquant_VRAM_MB,Turboquant_TTFT_ms,Turboquant_TPOT_ms,BF16_VRAM_MB,BF16_TTFT_ms,BF16_TPOT_ms,Memory_Usage_Ratio_TQ_over_BF16
2000,14176.0,25630.079661000156,713.9064555600422,14360.666666666666,20334.75058633333,81.12120474668093,0.9871408012627083
3000,14210.666666666666,4723.389506666535,717.9350367400699,14520.666666666666,11196.15198866662,77.33004473974991,0.9786511179468343
4000,14212.666666666666,4526.707888999984,717.2030838933733,14627.333333333334,4692.246194666647,78.63915130669132,0.9716512465247709
5000,14248.0,4958.147264666574,716.7706848001884,14794.0,12276.493953333329,79.86780407999959,0.9630931458699473
6000,14292.666666666666,5020.346300666763,720.8489735267358,14934.0,5701.267380333396,81.0231274133533,0.9570554885942592
7000,14362.0,4702.8718486672005,715.9700413464694,15094.0,4598.508004333401,77.97494690672313,0.9515039088379489
